CNPJ,DENOM_SOCIAL,VL_PL,competencia,S1,S2,S3,S4,S5,S6,grupo,caso,meses_antes
42605393000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS QUASAR DUCOCO,0.02,2025-01-31,,0,0,0,0,,positivo,CR023,11
45938195000153,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADING I,52181261.39,2025-01-31,,0,0,1,0,,positivo,CR023,11
46879210000100,PORTION CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,6394989.11,2025-01-31,,0,0,0,0,,positivo,CR023,11
51007736000122,LOGAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,347560142.6,2025-01-31,,0,0,0,0,,positivo,CR023,11
53273475000118,ANNA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,15236596282.1,2025-01-31,,,0,0,0,,positivo,CR023,11
53323851000131,KOMBI AZUL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,3709431.25,2025-01-31,,,0,0,0,,positivo,CR023,11
56908218000101,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FAST FASHION SUPPLY CHAIN,7376052.86,2025-01-31,,0,0,0,0,,positivo,CR023,11
41265819000168,M CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,98888720.71,2025-01-31,,0,0,0,0,,positivo,CR023,11
41593704000100,INDÚSTRIA Q1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4832699.51,2025-01-31,,0,0,0,1,,positivo,CR023,11
41673465000190,HILL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,114028092.63,2025-01-31,,0,0,0,0,,positivo,CR023,11
46879163000197,CAPITAL MULTICRÉDITOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,20197216.17,2025-01-31,,0,0,0,0,,positivo,CR023,11
49878868000188,AUGE CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO,6082062.17,2025-01-31,,0,0,0,0,,positivo,CR023,11
50452371000182,DEL REY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,228748685.43,2025-01-31,,0,0,0,0,,positivo,CR023,11
51168507000190,AJAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,458002155.33,2025-01-31,,0,0,0,0,,positivo,CR023,11
53848229000147,FASHION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESP ILIMITADA,8420838.67,2025-01-31,,0,0,0,0,,positivo,CR023,11
