caso,rotulo,sinal,grupo,n_veiculos,n_disparou,n_nao_avaliavel,taxa_disparo,cobertura,antecedencia_mediana_meses,n_positivos,observacao,lift,fisher_p
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S1,positivo,58.0,16.0,93.0,0.27586206896551724,0.3841059602649007,2.0,,,1.7747126436781608,0.0328
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S1,controle,193.0,30.0,260.0,0.15544041450777202,0.4260485651214128,10.0,,,1.7747126436781608,0.0328
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S2,positivo,132.0,0.0,19.0,0.0,0.8741721854304636,,,,0.0,1.0
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S2,controle,345.0,24.0,108.0,0.06956521739130435,0.7615894039735099,8.0,,,0.0,1.0
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S3,positivo,150.0,125.0,1.0,0.8333333333333334,0.9933774834437086,0.0,,,2.9365079365079367,0.0
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S3,controle,444.0,126.0,9.0,0.28378378378378377,0.9801324503311258,5.0,,,2.9365079365079367,0.0
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S4,positivo,149.0,63.0,2.0,0.4228187919463087,0.9867549668874173,8.0,,,1.1784368911019703,0.0983
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S4,controle,432.0,155.0,21.0,0.3587962962962963,0.9536423841059603,5.0,,,1.1784368911019703,0.0983
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S5,positivo,151.0,144.0,0.0,0.9536423841059603,1.0,4.0,,,4.5,0.0
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S5,controle,453.0,96.0,0.0,0.2119205298013245,1.0,11.0,,,4.5,0.0
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S6,positivo,59.0,18.0,92.0,0.3050847457627119,0.39072847682119205,1.0,,,0.6817710134901419,0.9839
CR023,Liquidação BCB — administrador (CBSF/ex-Reag Trust),S6,controle,219.0,98.0,234.0,0.4474885844748858,0.48344370860927155,9.0,,,0.6817710134901419,0.9839
CR024,Stop order CVM — Multiplike Plus FIDC,S1,controle,10.0,3.0,20.0,0.3,0.3333333333333333,11.0,,,,
CR024,Stop order CVM — Multiplike Plus FIDC,S2,positivo,2.0,0.0,1.0,0.0,0.6666666666666666,,,,,
CR024,Stop order CVM — Multiplike Plus FIDC,S2,controle,24.0,0.0,6.0,0.0,0.8,,,,,
CR024,Stop order CVM — Multiplike Plus FIDC,S3,positivo,3.0,0.0,0.0,0.0,1.0,,,,0.0,1.0
CR024,Stop order CVM — Multiplike Plus FIDC,S3,controle,30.0,12.0,0.0,0.4,1.0,11.0,,,0.0,1.0
CR024,Stop order CVM — Multiplike Plus FIDC,S4,positivo,3.0,0.0,0.0,0.0,1.0,,,,0.0,1.0
CR024,Stop order CVM — Multiplike Plus FIDC,S4,controle,30.0,12.0,0.0,0.4,1.0,9.5,,,0.0,1.0
CR024,Stop order CVM — Multiplike Plus FIDC,S5,positivo,3.0,0.0,0.0,0.0,1.0,,,,0.0,1.0
CR024,Stop order CVM — Multiplike Plus FIDC,S5,controle,30.0,7.0,0.0,0.23333333333333334,1.0,10.0,,,0.0,1.0
CR024,Stop order CVM — Multiplike Plus FIDC,S6,controle,12.0,6.0,18.0,0.5,0.4,10.0,,,,
CR022,Liquidação BCB — Banco Master (parte relacionada),,,,,,,,,0.0,nenhum veículo vinculado na competência anterior,,
